"International merchandise trade for all countries and by Principal Trading Partners, monthly (x 1,000,000) 1 2 3 4 5 6"
"Frequency: Monthly"
"Table: 12-10-0011-01 (formerly CANSIM 228-0069)"
"Release date: 2026-01-29"
"Geography: Canada"
""
""

"Geography","Canada"
"Trade","Trade Balance"
"Basis","Balance of payments"
"Seasonal adjustment","Seasonally adjusted"
"Principal trading partners","United States"
"Reference period"
,"Dollars"
"January 2017","4,323.0"
"February 2017","4,707.0"
"March 2017","3,248.3"
"April 2017","4,579.1"
"May 2017","3,227.2"
"June 2017","1,742.5"
"July 2017","2,833.1"
"August 2017","2,733.6"
"September 2017","2,177.7"
"October 2017","3,317.6"
"November 2017","3,332.4"
"December 2017","3,115.3"
"January 2018","3,427.4"
"February 2018","3,231.3"
"March 2018","2,318.2"
"April 2018","4,257.8"
"May 2018","3,658.2"
"June 2018","4,737.7"
"July 2018","5,672.1"
"August 2018","5,260.6"
"September 2018","4,563.1"
"October 2018","3,887.4"
"November 2018","1,105.9"
"December 2018","616.3"
"January 2019","2,240.5"
"February 2019","3,702.8"
"March 2019","4,667.4"
"April 2019","4,799.6"
"May 2019","5,194.3"
"June 2019","4,768.0"
"July 2019","4,439.9"
"August 2019","4,623.4"
"September 2019","4,739.8"
"October 2019","4,747.3"
"November 2019","4,229.6"
"December 2019","5,290.4"
"January 2020","2,726.1"
"February 2020","2,597.7"
"March 2020","818.3"
"April 2020","296.4"
"May 2020","1,244.6"
"June 2020","2,195.8"
"July 2020","1,842.8"
"August 2020","2,832.9"
"September 2020","1,776.6"
"October 2020","2,841.8"
"November 2020","2,720.0"
"December 2020","2,600.7"
"January 2021","5,749.3"
"February 2021","6,807.2"
"March 2021","4,025.0"
"April 2021","5,563.4"
"May 2021","5,551.5"
"June 2021","7,015.0"
"July 2021","6,318.9"
"August 2021","7,747.4"
"September 2021","8,021.5"
"October 2021","7,961.3"
"November 2021","9,923.7"
"December 2021","7,547.3"
"January 2022","9,640.1"
"February 2022","10,511.8"
"March 2022","12,522.3"
"April 2022","12,071.7"
"May 2022","13,162.3"
"June 2022","11,726.3"
"July 2022","9,789.4"
"August 2022","8,419.6"
"September 2022","8,482.4"
"October 2022","7,330.1"
"November 2022","6,837.9"
"December 2022","7,601.3"
"January 2023","8,274.6"
"February 2023","8,116.6"
"March 2023","8,310.9"
"April 2023","9,767.5"
"May 2023","8,108.6"
"June 2023","6,270.8"
"July 2023","8,004.2"
"August 2023","10,530.3"
"September 2023","10,835.5"
"October 2023","11,331.0"
"November 2023","10,718.8"
"December 2023","7,348.5"
"January 2024","7,349.0"
"February 2024","8,493.0"
"March 2024","7,899.3"
"April 2024","7,934.1"
"May 2024","8,781.4"
"June 2024","8,048.7"
"July 2024","10,278.2"
"August 2024","7,535.3"
"September 2024","7,889.2"
"October 2024","6,744.9"
"November 2024","8,364.1"
"December 2024","11,944.5"
"January 2025","13,886.2"
"February 2025","10,660.8"
"March 2025","7,020.1"
"April 2025","3,363.5"
"May 2025","3,391.4"
"June 2025","4,042.5"
"July 2025","6,961.9"
"August 2025","5,735.4"
"September 2025","8,400.0"
"October 2025","5,233.2"
"November 2025","6,580.0"




Footnotes:
1,"This table replaces archived table 12-10-0070."
2,"Totals are not equal to the sum of their components."
3,"Countries listed are the top 27 principal trading partners of Canada based on annual 2012 total merchandise trade data."
4,"The concept of Trade Balance exists only on a Balance of Payments seasonally adjusted basis."
5,"On December 7th, 2023, with the implementation of the North American Product Classification System (NAPCS) 2022, historical adjustments were made to all reference years prior to 2016 in balance of payments basis data to introduce estimates for illicit cannabis trade."
6,"Statistics Canada's primary data source used in the compilation of import statistics is undergoing a major transition as a result of the <a href="https://www.cbsa-asfc.gc.ca/services/carm-gcra/menu-eng.html" rel="external noopener noreferrer" target="_blank">Canada Border Services Agency (CBSA) Assessment and Revenue Management (CARM) digital initiative (opens new window)</a>. Delays in the receipt of import data at Statistics Canada are currently being experienced and other issues impacting quality are also expected throughout this transition period. Beginning with the reference month of October 2024, users of these statistics should exercise caution and expect material revisions until the situation stabilizes."



"How to cite: Statistics Canada. Table 12-10-0011-01  International merchandise trade for all countries and by Principal Trading Partners, monthly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210001101
