Date,Inflation_Canada,Inflation_US,Inflation_Difference
1/31/2017,,,0.00%
2/28/2017,,,0.00%
3/31/2017,,,0.00%
4/30/2017,,,0.00%
5/31/2017,,,0.00%
6/30/2017,,,0.00%
7/31/2017,,,0.00%
8/31/2017,,,0.00%
9/30/2017,,,0.00%
10/31/2017,,,0.00%
11/30/2017,,,0.00%
12/31/2017,,,0.00%
1/31/2018,1.70%,2.15%,0.45%
2/28/2018,2.16%,2.26%,0.10%
3/31/2018,2.31%,2.33%,0.02%
4/30/2018,2.22%,2.47%,0.25%
5/31/2018,2.22%,2.78%,0.56%
6/30/2018,2.45%,2.81%,0.35%
7/31/2018,2.99%,2.85%,-0.14%
8/31/2018,2.84%,2.64%,-0.19%
9/30/2018,2.22%,2.33%,0.11%
10/31/2018,2.44%,2.49%,0.05%
11/30/2018,1.68%,2.15%,0.47%
12/31/2018,1.99%,2.00%,0.01%
1/31/2019,1.44%,1.49%,0.04%
2/28/2019,1.51%,1.52%,0.01%
3/31/2019,1.88%,1.88%,0.00%
4/30/2019,2.03%,2.00%,-0.02%
5/31/2019,2.40%,1.80%,-0.60%
6/30/2019,2.02%,1.67%,-0.35%
7/31/2019,2.01%,1.83%,-0.18%
8/31/2019,1.94%,1.74%,-0.20%
9/30/2019,1.87%,1.68%,-0.19%
10/31/2019,1.86%,1.73%,-0.13%
11/30/2019,2.17%,2.09%,-0.08%
12/31/2019,2.25%,2.32%,0.07%
1/31/2020,2.40%,2.60%,0.20%
2/29/2020,2.16%,2.34%,0.19%
3/31/2020,0.89%,1.49%,0.61%
4/30/2020,-0.22%,0.31%,0.53%
5/31/2020,-0.37%,0.20%,0.56%
6/30/2020,0.66%,0.72%,0.06%
7/31/2020,0.15%,1.00%,0.85%
8/31/2020,0.15%,1.28%,1.13%
9/30/2020,0.51%,1.39%,0.88%
10/31/2020,0.66%,1.23%,0.57%
11/30/2020,0.95%,1.18%,0.22%
12/31/2020,0.73%,1.32%,0.59%
1/31/2021,1.02%,1.36%,0.33%
2/28/2021,1.09%,1.67%,0.58%
3/31/2021,2.20%,2.62%,0.43%
4/30/2021,3.39%,4.14%,0.75%
5/31/2021,3.60%,4.93%,1.33%
6/30/2021,3.06%,5.32%,2.26%
7/31/2021,3.72%,5.27%,1.55%
8/31/2021,4.09%,5.18%,1.09%
9/30/2021,4.38%,5.36%,0.98%
10/31/2021,4.65%,6.23%,1.57%
11/30/2021,4.72%,6.87%,2.15%
12/31/2021,4.80%,7.16%,2.36%
1/31/2022,5.14%,7.58%,2.44%
2/28/2022,5.69%,7.95%,2.26%
3/31/2022,6.66%,8.54%,1.88%
4/30/2022,6.77%,8.24%,1.46%
5/31/2022,7.73%,8.53%,0.80%
6/30/2022,8.13%,9.00%,0.87%
7/31/2022,7.59%,8.45%,0.86%
8/31/2022,7.01%,8.22%,1.20%
9/30/2022,6.86%,8.21%,1.35%
10/31/2022,6.88%,7.76%,0.88%
11/30/2022,6.80%,7.13%,0.34%
12/31/2022,6.32%,6.41%,0.09%
1/31/2023,5.92%,6.34%,0.42%
2/28/2023,5.25%,5.96%,0.71%
3/31/2023,4.30%,4.93%,0.63%
4/30/2023,4.41%,4.95%,0.54%
5/31/2023,3.36%,4.13%,0.77%
6/30/2023,2.81%,3.06%,0.25%
7/31/2023,3.27%,3.28%,0.01%
8/31/2023,4.00%,3.72%,-0.28%
9/30/2023,3.80%,3.70%,-0.10%
10/31/2023,3.12%,3.25%,0.13%
11/30/2023,3.12%,3.14%,0.02%
12/31/2023,3.40%,3.32%,-0.07%
1/31/2024,2.86%,3.11%,0.25%
2/29/2024,2.78%,3.17%,0.38%
3/31/2024,2.90%,3.47%,0.57%
4/30/2024,2.69%,3.35%,0.67%
5/31/2024,2.87%,3.24%,0.37%
6/30/2024,2.67%,2.97%,0.30%
7/31/2024,2.53%,2.94%,0.41%
8/31/2024,1.95%,2.61%,0.66%
9/30/2024,1.64%,2.43%,0.79%
10/31/2024,2.02%,2.57%,0.55%
11/30/2024,1.89%,2.71%,0.82%
12/31/2024,1.83%,2.87%,1.04%
1/31/2025,1.90%,3.00%,1.10%
2/28/2025,2.64%,2.81%,0.17%
3/31/2025,2.32%,2.41%,0.09%
4/30/2025,1.74%,2.33%,0.59%
5/31/2025,1.73%,2.38%,0.64%
6/30/2025,1.86%,2.67%,0.81%
7/31/2025,1.73%,2.73%,1.00%
8/31/2025,1.85%,2.94%,1.09%
9/30/2025,2.36%,3.02%,0.66%
10/31/2025,2.16%,3.02%,0.86%
11/30/2025,2.22%,3.00%,0.78%
12/31/2025,2.36%,3.03%,0.67%
