Date,USD_CAD_FX
1/31/2017,1.3193
2/28/2017,1.3107
3/31/2017,1.3386
4/30/2017,1.344
5/31/2017,1.3607
6/30/2017,1.3298
7/31/2017,1.2689
8/31/2017,1.2605
9/30/2017,1.2283
10/31/2017,1.2605
11/30/2017,1.2769
12/31/2017,1.2771
1/31/2018,1.2427
2/28/2018,1.2586
3/31/2018,1.2932
4/30/2018,1.2733
5/31/2018,1.2873
6/30/2018,1.3129
7/31/2018,1.313
8/31/2018,1.3041
9/30/2018,1.3037
10/31/2018,1.301
11/30/2018,1.32
12/31/2018,1.3432
1/31/2019,1.3301
2/28/2019,1.3206
3/31/2019,1.3368
4/30/2019,1.3378
5/31/2019,1.3459
6/30/2019,1.3287
7/31/2019,1.3101
8/31/2019,1.3277
9/30/2019,1.3241
10/31/2019,1.319
11/30/2019,1.3239
12/31/2019,1.3172
1/31/2020,1.3087
2/29/2020,1.3286
3/31/2020,1.3953
4/30/2020,1.4058
5/31/2020,1.397
6/30/2020,1.355
7/31/2020,1.3499
8/31/2020,1.3222
9/30/2020,1.3228
10/31/2020,1.3215
11/30/2020,1.3068
12/31/2020,1.2808
1/31/2021,1.2724
2/28/2021,1.2699
3/31/2021,1.2574
4/30/2021,1.2496
5/31/2021,1.2126
6/30/2021,1.2219
7/31/2021,1.2529
8/31/2021,1.2603
9/30/2021,1.2671
10/31/2021,1.2437
11/30/2021,1.257
12/31/2021,1.2794
1/31/2022,1.2616
2/28/2022,1.2716
3/31/2022,1.2658
4/30/2022,1.2628
5/31/2022,1.2852
6/30/2022,1.2814
7/31/2022,1.2942
8/31/2022,1.2922
9/30/2022,1.3319
10/31/2022,1.37
11/30/2022,1.3449
12/31/2022,1.3592
1/31/2023,1.3422
2/28/2023,1.345
3/31/2023,1.3682
4/30/2023,1.3485
5/31/2023,1.352
6/30/2023,1.3288
7/31/2023,1.3215
8/31/2023,1.3485
9/30/2023,1.3535
10/31/2023,1.3717
11/30/2023,1.3709
12/31/2023,1.3431
1/31/2024,1.3425
2/29/2024,1.3501
3/31/2024,1.3539
4/30/2024,1.3674
5/31/2024,1.367
6/30/2024,1.3707
7/31/2024,1.3712
8/31/2024,1.3652
9/30/2024,1.3546
10/31/2024,1.3755
11/30/2024,1.3975
12/31/2024,1.424
1/31/2025,1.439
2/28/2025,1.4301
3/31/2025,1.4359
4/30/2025,1.3988
5/31/2025,1.386
6/30/2025,1.3674
7/31/2025,1.3691
8/31/2025,1.3802
9/30/2025,1.3833
10/31/2025,1.3992
11/30/2025,1.4055
12/31/2025,1.3802
1/31/2026,1.3778
