Date,GDP_Rate_Difference
3/31/2017,
6/30/2017,-0.23%
9/30/2017,1.28%
12/31/2017,1.24%
3/31/2018,0.29%
6/30/2018,0.46%
9/30/2018,0.56%
12/31/2018,0.33%
3/31/2019,0.69%
6/30/2019,0.27%
9/30/2019,1.21%
12/31/2019,0.70%
3/31/2020,1.12%
6/30/2020,2.76%
9/30/2020,-0.33%
12/31/2020,-0.12%
3/31/2021,0.99%
6/30/2021,3.41%
9/30/2021,0.37%
12/31/2021,1.68%
3/31/2022,0.72%
6/30/2022,1.28%
9/30/2022,1.03%
12/31/2022,1.59%
3/31/2023,0.62%
6/30/2023,0.99%
9/30/2023,1.93%
12/31/2023,1.20%
3/31/2024,0.27%
6/30/2024,0.71%
9/30/2024,0.43%
12/31/2024,0.36%
3/31/2025,0.19%
6/30/2025,1.95%
9/30/2025,1.37%
